label,name,notice,furigana
容器包装プラスチック,エアゾール缶のキャップ（プラ製）,,
容器包装プラスチック,エアキャップ（緩衝材）,,
収集しない,エアコン,販売店などへ（家電リサイクル対象品）,
カセットボンベ・スプレー缶,エアゾール缶,使い切り、火の気のない風通しの良い所で穴をあけて、他のごみとは別にして出す,
缶・びん・ペットボトル,栄養ドリンクのびん,中身を使い切って、水洗いする,
燃えないごみ,ＭＤ,,
燃えるごみ,ＭＤのケース,,
燃えないごみ,ＭＤプレーヤー,,
収集しない,エンジンオイル,販売店などに相談,
燃えないごみ,延長コード,,
燃えるごみ,鉛筆,,
大型ごみ,オイルヒーター,,
大型ごみ,応接用いす,,
大型ごみ,オーディオラック(オーディオボード),,
収集しない,オートバイ,販売店または二輪車リサイクルコールセンター（03-3598-8075）に相談,
燃えないごみ,オーブントースター,,
大型ごみ,オーブンレンジ,,
燃えるごみ,落ち葉,,
燃えないごみ,斧,刃は紙にくるんで、外からわかるように指定袋に「キケン」と貼る,
燃えないごみ,おもちゃ（金属が含まれるもの）,指定袋に入らないもの、または5kgを超えるものは大型ごみ,
燃えるごみ,おもちゃ（木製・プラ製）,指定袋に入らないもの、または5kgを超えるものは大型ごみ,
大型ごみ,オルガン,大型のものは販売店等に相談,
燃えないごみ,温水洗浄機付便座,指定袋に入らないもの、または5kgを超えるものは大型ごみ,
燃えないごみ,温度計,,
燃えないごみ,カーコンポ,,
燃えるごみ,カーテン,地域の資源（古紙など）集団回収で集めている場合はできるだけ資源集団回収へ,
燃えないごみ,カーナビ,,
大型ごみ,カーペット,丸めてひもでしばる　指定袋に入り，５kg以下のものは燃えるごみ,
燃えないごみ,懐中電灯,電池は抜いて燃えないごみ,
燃えるごみ,貝の殻（牡蠣・あさりなど）,,
燃えないごみ,カイロ（使い捨てを含む）,,
燃えないごみ,鏡,"紙にくるんで，外からわかるように指定袋に「キケン」と貼る
指定袋に入らないもの，または5kgを超えるものは大型ごみ",
燃えないごみ,鍵,,
燃えないごみ,傘,,
缶・びん・ペットボトル,菓子缶（一斗缶は除く）,,
燃えるごみ,菓子箱（紙製）,できるだけ地域の資源（古紙など）集団回収へ,
大型ごみ,ガスコンロ(ガステーブル)2口以上,1口のものは燃えないごみ　電池は抜いて燃えないごみ,
燃えないごみ,カセットコンロ,電池は抜いて燃えないごみ　カセットコンロ用ボンベははずす,
カセットボンベ・スプレー缶,カセットコンロ用ボンベ,使いきり，火の気のない風通しの良い所で穴をあけて，他のごみとは別にして出す,
燃えるごみ,カセットテープ（ケースを含む）,,
収集しない,ガソリン,販売店などに相談,
燃えないごみ,カッター,刃は紙にくるんで，外からわかるように指定袋に「キケン」と貼る,
容器包装プラスチック,カップめんの容器（プラ製）,水洗いする　汚れが簡単に取れない場合は燃えるごみ,
燃えるごみ,カップめんの容器（紙製）,,
燃えないごみ,かばん（金属製）,,
燃えるごみ,かばん（金属製以外）,,
燃えないごみ,花びん,紙にくるんで，外からわかるように指定袋に「キケン」と貼る,
燃えないごみ,鎌,刃は紙にくるんで，外からわかるように指定袋に「キケン」と貼る,
燃えるごみ,紙おむつ,汚物を除いて小さなポリ袋などに入れてから，指定袋に入れる。汚物はトイレに流す,
燃えないごみ,かみそり,紙にくるんで，外からわかるように指定袋に「キケン」と貼る,
燃えるごみ,紙パック,"500ミリリットル以上で内側が白いものは，できるだけ店頭回収へ
または地域の資源（古紙など）集団回収へ（洗って，開いて，乾かして）",
燃えるごみ,ガムテープ,,
燃えないごみ,カメラ,,
大型ごみ,カラーボックス,,
燃えないごみ,ガラス,"紙にくるんで，外からわかるように指定袋に「キケン」と貼る
指定袋に入らないもの，または5kgを超えるものは大型ごみ",
燃えるごみ,枯葉,,
燃えないごみ,換気扇,,
燃えないごみ,缶切り,紙にくるんで，外からわかるように指定袋に「キケン」と貼る,
燃えるごみ,乾燥剤,,
燃えないごみ,キーボード（パソコン）,パソコンと同時にメーカーに回収を申込むこともできます,
大型ごみ,キーボード（楽器）,,
大型ごみ,ギター,,
燃えるごみ,木の枝・幹,"長いものは50センチ以下に切って，指定袋に入れる
太い枝，幹は大型ごみ",
大型ごみ,脚立,,
容器包装プラスチック,キャップ（プラ製）,,
燃えないごみ,キャップ（金属製）,,
燃えないごみ,キャリーバッグ（金属・プラ製）,,
燃えるごみ,キャリーバッグ（布・皮製）,,
大型ごみ,給湯器,,
燃えるごみ,牛乳パック,"500ミリリットル以上で内側が白いものは，できるだけ店頭回収へ
または地域の資源（古紙など）集団回収へ（洗って，開いて，乾かして）",
缶・びん・ペットボトル,牛乳びん,できるだけ販売店へ　中身を使い切って，水洗いする,
燃えるごみ,教科書,できるだけ地域の資源（古紙など）集団回収へ,
大型ごみ,鏡台,,
収集しない,金庫（耐火）,販売店などへ相談,
大型ごみ,空気清浄機,,
大型ごみ,クーラーボックス,指定袋に入り，5kg以下のものは燃えるごみ,
燃えないごみ,くぎ,紙にくるんで，外からわかるように指定袋に「キケン」と貼る,
燃えるごみ,草・花,,
燃えるごみ,串（焼き鳥・だんごの竹串など）,2つに折って紙にくるむ,
燃えるごみ,薬（錠剤・カプセルなど家庭用）,,
缶・びん・ペットボトル,薬のびん,中を水洗いする,
容器包装プラスチック,薬の容器（プラ製）,在宅医療用プラスチックバッグ類は燃えるごみ,
燃えるごみ,靴,,
燃えるごみ,靴下,地域の資源（古紙など）集団回収で集めている場合はできるだけ資源集団回収へ,
燃えるごみ,クッション,指定袋に入らないもの，または5kgを超えるものは大型ごみ,
燃えるごみ,クリーニングの袋,,
大型ごみ,車いす（電動のものは「電動車いす」参照）,,
燃えるごみ,グローブ（野球用など）,,
燃えないごみ,蛍光灯,紙にくるんで，外からわかるように指定袋に「キケン」と貼る,
燃えないごみ,携帯電話,販売店へ（資源化ルートあり）こちらを参照,
燃えないごみ,ゲーム機,指定袋に入らないもの，または5kgを超えるものは大型ごみ,
燃えないごみ,ゲームソフト,,
燃えないごみ,化粧品のびん，化粧品瓶，化粧品の瓶,紙にくるんで，外からわかるように指定袋に「キケン」と貼る,
大型ごみ,げた箱,,
容器包装プラスチック,ケチャップの容器（プラ製）,"中身を使い切って，汚れを取る
中身が簡単に取れない場合は燃えるごみ",
燃えないごみ,血圧計,,
燃えないごみ,剣山,紙にくるんで，外からわかるように指定袋に「キケン」と貼る,
収集しない,原動機付自転車,販売店または二輪車リサイクルコールセンター(03-3598-8075)に相談,
燃えるごみ,ゴーグル,,
燃えないごみ,コード（電気コード）,,
燃えないごみ,コーヒーメーカー,,
燃えるごみ,ござ,指定袋に入らないもの，または5kgを超えるものは大型ごみ,
大型ごみ,こたつ・こたつ天板,,
大型ごみ,こたつ布団,丸めてひもでしばる　指定袋に入り、5kg以下のものは燃えるごみ（ひもでしばらない）,
燃えないごみ,コップ（ガラス製・陶器製・金属製）,割れものは紙にくるんで，外からわかるように指定袋に「キケン」と貼る,
燃えるごみ,コップ（プラ製・紙製・木製）,,
缶・びん・ペットボトル,粉ミルクの缶,中身を使い切って，水洗いする,
大型ごみ,コピー機,,
燃えるごみ,ゴム手袋・ゴム長靴,,
燃えるごみ,ゴムボート,指定袋に入らないもの，または5kgを超えるものは大型ごみ,
燃えないごみ,コルク抜き,紙にくるんで，外からわかるように指定袋に「キケン」と貼る,
大型ごみ,ゴルフクラブ・ゴルフバッグ,,
燃えないごみ,コンパス（文房具）,紙にくるんで，外からわかるように指定袋に「キケン」と貼る,
大型ごみ,サーフボード,,
大型ごみ,サイクリングマシーン（エアロバイク）,,
大型ごみ,座椅子,,
燃えるごみ,サインペン,,
缶・びん・ペットボトル,酒のカップ,中身を使い切って，水洗いする,
燃えるごみ,酒類の紙パック,,
燃えるごみ,雑誌,できるだけ地域の資源（古紙など）集団回収へ,
カセットボンベ・スプレー缶,殺虫剤（スプレー缶）,使い切り，火の気のない風通しの良い所で穴をあけて，他のごみとは別にして出す,
燃えるごみ,座布団,,
燃えないごみ,皿（ガラス製・陶器製・金属製）,割れものは紙にくるんで，外からわかるように指定袋に「キケン」と貼る,
燃えるごみ,皿（プラ製・紙製・木製）,,
燃えるごみ,サラダ油,紙や布に染み込ませるか凝固剤で固めて,
缶・びん・ペットボトル,サラダ油の缶（一斗缶は除く）,中身を使い切って，水洗いする,
容器包装プラスチック,サラダ油のプラスチック製ボトル,"中身を使い切って，汚れを取る
汚れが簡単に取れない場合は燃えるごみ",
燃えないごみ,三脚,指定袋に入らないもの，または5kgを超えるものは大型ごみ,
燃えるごみ,サングラス（プラ製）,,
燃えないごみ,サングラス（プラ製以外）,,
大型ごみ,三輪車,指定袋に入り，5kg以下のものは燃えないごみ,
燃えるごみ,シーツ,地域の資源（古紙など）集団回収で集めている場合はできるだけ資源集団回収へ,
燃えるごみ,ＣＤ（ケースを含む）,,
燃えないごみ,ＣＤラジカセ・ＣＤプレーヤー,,
燃えるごみ,下着,地域の資源（古紙など）集団回収で集めている場合はできるだけ資源集団回収へ,
燃えるごみ,下敷（プラ製）,,
容器包装プラスチック,湿気取り容器,水を捨て，かすを紙で拭き取る,
燃えるごみ,辞典,できるだけ地域の資源（古紙など）集団回収へ　回収に出す場合は固い表紙ははずす,
大型ごみ,自転車,,
燃えるごみ,シャープペンシル,,
容器包装プラスチック,シャンプーのプラスチック製ボトル,中身を使い切って，汚れを取る,
燃えないごみ,ジューサー,,
大型ごみ,じゅうたん,丸めてひもでしばる,
収集しない,消火器,製造元または販売店または（社）兵庫県消防設備保守協会（333-8012）に相談,
燃えないごみ,定規（金属製）,,
燃えるごみ,定規（金属製以外）,,
燃えるごみ,浄水器（カートリッジ）,,
燃えないごみ,浄水器（本体）,プラ製のものは燃えるごみ,
大型ごみ,照明器具,"電球・蛍光灯は外して燃えないごみ
指定袋に入り，5kg以下のものは燃えないごみ",
缶・びん・ペットボトル,しょうゆの容器（ペットボトル）,中身を使い切って，中を軽くすすいでつぶして出す　キャップ・ラベルは外す,
容器包装プラスチック,食品用トレイ,できるだけ店頭回収へ　汚れを取る　汚れが簡単に取れない場合は燃えるごみ,
燃えるごみ,食用油,紙や布に染み込ませるか凝固剤で固めて,
缶・びん・ペットボトル,食用油の缶（一斗缶は除く）,中身を使い切って，水洗いする,
缶・びん・ペットボトル,食用油のびん,中身を使い切って，水洗いする,
容器包装プラスチック,食用油のプラスチック製ボトル,中身を使い切って，汚れを取る　中身が簡単に取れない場合は燃えるごみ,
容器包装プラスチック,食用油の容器のキャップ（プラ製）,,
燃えないごみ,食用油の容器のキャップ（金属製）,,
大型ごみ,除湿機,,
大型ごみ,食器洗い乾燥機・食器乾燥機,,
大型ごみ,食器棚,,
燃えるごみ,シリカゲル（乾燥剤）,,
燃えるごみ,人工芝,,
収集しない,シンナー類,販売店などに相談,
燃えるごみ,新聞,できるだけ地域の資源（古紙など）集団回収へ,
燃えないごみ,水槽（ガラス製）,紙にくるんで，外からわかるように指定袋に「キケン」と貼る　指定袋に入らないものは，大型ごみ,
燃えるごみ,水槽（プラ製）,,
燃えないごみ,水中メガネ（ガラス製）,,
燃えるごみ,水中メガネ（プラ製）,,
燃えるごみ,水筒（プラ製）,,
燃えないごみ,水筒（金属製）,,
燃えないごみ,炊飯器,指定袋に入らないもの，または5kgを超えるものは大型ごみ,
大型ごみ,スーツケース,,
大型ごみ,姿見,,
大型ごみ,スキー板,,
燃えないごみ,スキャナー,指定袋に入らないもの，または5kgを超えるものは大型ごみ,
燃えないごみ,スケート靴,,
燃えないごみ,スケートボード,,
燃えないごみ,すずり,,
大型ごみ,すだれ,指定袋に入り，5kg以下のものは燃えるごみ,
缶・びん・ペットボトル,スチール缶（飲料・食品用）,中身を使い切って，水洗いする,
大型ごみ,スチール棚,,
燃えないごみ,ステープラ（ホッチキスなど）,,
大型ごみ,ステレオセット,,
大型ごみ,ストーブ,電池は抜いて燃えないごみ　灯油は抜いて販売店などに相談,
燃えるごみ,ストッキング,,
燃えるごみ,ストロー,,
大型ごみ,スノーボード,,
大型ごみ,すのこ,指定袋に入り，5kg以下のものは燃えるごみ,
燃えないごみ,スパナ（工具類）,,
燃えないごみ,スピーカー,指定袋に入らないもの，または5kgを超えるものは大型ごみ,
燃えないごみ,スプーン（金属製・陶器製）,,
燃えるごみ,スプーン（プラ製・木製）,,
大型ごみ,スプリングマットレス,,
カセットボンベ・スプレー缶,スプレー缶,使い切り，火の気のない風通しの良い所で穴をあけて，他のごみとは別にして出す,
容器包装プラスチック,スプレー缶のキャップ（プラ製）,,
大型ごみ,すべり台（子供用遊具）,,
燃えるごみ,スポンジ,,
大型ごみ,ズボンプレッサー,,
燃えるごみ,炭,,
燃えるごみ,スリッパ,,
カセットボンベ・スプレー缶,整髪料（スプレー缶）,使い切り，火の気のない風通しの良い所で穴を開けて，他のごみとは別にして出す,
燃えるごみ,セーター,地域の資源（古紙など）集団回収で集めている場合はできるだけ資源集団回収へ,
燃えないごみ,せともの,紙にくるんで，外からわかるように指定袋に「キケン」と貼る,
燃えるごみ,セロハンテープ,,
燃えるごみ,洗剤の計量スプーン,,
容器包装プラスチック,洗剤の容器（プラ製）,中身を使い切って，汚れを取る,
燃えるごみ,洗剤の容器（紙製）,,
収集しない,洗濯機,販売店などへ（家電リサイクル品）,
燃えないごみ,洗濯バサミ,,
燃えないごみ,洗濯ハンガー（プラ製）,,
燃えるごみ,剪定枝,長いものは50以下に切って，束ねて指定袋に入れる　太い枝，幹は大型ごみ,
燃えないごみ,剪定バサミ,紙にくるんで，外からわかるように指定袋に「キケン」と貼る,
燃えないごみ,栓抜き,,
大型ごみ,扇風機,指定袋に入り，5kg以下のものは燃えないごみ,
燃えるごみ,洗面器(プラ製）,,
燃えないごみ,双眼鏡,,
大型ごみ,掃除機,指定袋に入り，5kg以下のものは燃えないごみ,
缶・びん・ペットボトル,ソースのびん,中身を使い切って，水洗いする,
容器包装プラスチック,ソースのプラスチック製ボトル,中身jを使い切って、汚れを取る,
大型ごみ,ソファー・ソファーベッド,,
燃えないごみ,体温計,,
燃えないごみ,体重計（ヘルスメーター）,,
収集しない,タイヤ（車）,お近くの販売店へ,
燃えるごみ,タオル,,
燃えるごみ,タオルケット,地域の資源（古紙など）集団回収で集めている場合は，できるだけ資源集団回収へ,
燃えないごみ,卓上コンロ,,
大型ごみ,畳,指定袋に入り，5kg以下のものは燃えるごみ,
燃えるごみ,脱酸素剤,,
容器包装プラスチック,脱臭剤（冷蔵庫用など）の容器,中身を使い切って，水洗いする　中身が簡単に取れない場合は燃えるごみ,
燃えるごみ,タバコの吸殻,,
燃えるごみ,卵の殻,,
容器包装プラスチック,卵パック（プラ製）,,
燃えるごみ,卵パック（紙製）,できるだけ地域の資源（古紙など）集団回収へ,
燃えないごみ,たわし（金属製）,,
燃えるごみ,たわし（金属製以外）,,
収集しない,単車,販売店または二輪車リサイクルコールセンター（03-3598-8075）に相談,
大型ごみ,たんす,,
燃えるごみ,段ボール,できるだけ地域の資源（古紙など）集団回収へ,
大型ごみ,チャイルドシート,,
燃えるごみ,茶殻,,
缶・びん・ペットボトル,茶の缶,中身を使い切って，水洗いする,
燃えないごみ,茶碗,紙にくるんで，外からわかるように指定袋に「キケン」と貼る,
収集しない,注射針,交付を受けた医療機関や薬局など,
容器包装プラスチック,チューブ類（マヨネーズ等）,"中身を使い切って，汚れを取る
中身が簡単に取れない場合は燃えるごみ",
燃えないごみ,彫刻刀,紙にくるんで，外からわかるように指定袋に「キケン」と貼る,
缶・びん・ペットボトル,調味料のびん,中身を使い切って，水洗いする,
燃えるごみ,チラシ,できるだけ地域の資源（古紙など）集団回収へ,
燃えるごみ,ちりとり（プラ製）,,
燃えないごみ,ちりとり（金属製）,,
燃えるごみ,使い捨てライター（プラ製）,中身を使い切って、水に浸す　一度に大量に出さない　１～２本まで,
大型ごみ,机,,
燃えるごみ,つっぱり棒（プラ製）,指定袋に入らないもの、または5kgを超えるものは大型ごみ,
燃えないごみ,土(鉢植えなどから出た少量のもの）,一度に大量に出さない,
燃えないごみ,爪切り,,
燃えるごみ,ＤＶＤ（ケースを含む）,,
燃えないごみ,ＤＶＤプレーヤー,,
大型ごみ,テーブル（木製）,指定袋に入り，5kg以下のものは燃えるごみ,
大型ごみ,テーブル（木製以外）,指定袋に入り，5kg以下のものは燃えないごみ,
燃えないごみ,テープレコーダー,,
燃えないごみ,鉄板（バーベキューなどで使うもの）,指定袋に入らないもの，または5kgを超えるものは大型ごみ,
燃えるごみ,手袋,,
収集しない,テレビ（ブラウン管式・液晶・プラズマ式）,こちらを参照（家電リサイクル品）,
大型ごみ,テレビ台,,
大型ごみ,電気カーペット,指定袋に入り，5kg以下のものは燃えないごみ,
燃えないごみ,電気コンロ（クッキングヒーターを含む）,,
燃えないごみ,電気スタンド,電球・蛍光灯は外して燃えないごみ,
燃えないごみ,電気ストーブ（電気パネルヒーターを含む）,指定袋に入らないもの，または5kgを超えるものは大型ごみ,
燃えないごみ,電気ひげそり,,
燃えないごみ,電気ポット,,
燃えないごみ,電気毛布,,
燃えないごみ,電球,紙にくるんで，外からわかるように指定袋に「キケン」と貼る,
大型ごみ,電子オルガン（エレクトーンなど）,大型のものは販売店等に相談,
燃えないごみ,電子辞書（電子手帳）,,
燃えないごみ,電磁調理器（卓上）,,
大型ごみ,電子ピアノ,大型のものは販売店等に相談,
大型ごみ,電子レンジ,,
燃えないごみ,電卓,,
燃えないごみ,電池（乾電池）,,
収集しない,電池（ボタン電池・二次電池（小形充電式電池））,販売店の回収箱へ,
大型ごみ,電動アシスト自転車,バッテリーは外して販売店などに相談,
大型ごみ,電動式ベッド,大型のものは販売店などに相談,
大型ごみ,電動車いす,バッテリーは外して販売店などに相談,
燃えないごみ,電動歯ブラシ,,
燃えるごみ,天ぷら油,紙や布に染み込ませるか凝固剤で固めて,
燃えないごみ,天ぷらガード,,
燃えないごみ,電話機,,
燃えるごみ,電話帳,"できるだけタウンページセンターに引き取ってもらうか
地域の資源（古紙など）集団回収へ",
大型ごみ,籐製家具,指定袋に入り，5kgを超えないものは燃えるごみ,
容器包装プラスチック,豆腐のパック（プラ製）,汚れを取る,
収集しない,灯油,販売店などに相談,
燃えないごみ,トースター,,
燃えないごみ,時計,指定袋に入らないもの，または5kgを超えるものは大型ごみ,
大型ごみ,戸棚,,
燃えないごみ,ドライヤー,,
燃えないごみ,鳥かご,指定袋に入らないもの，または5kgを超えるものは大型ごみ,
収集しない,塗料,販売店などに相談,
燃えないごみ,塗料の缶・びん,中身を使い切る,
カセットボンベ・スプレー缶,塗料のスプレー缶,使い切り，火の気のない風通しの良い所で穴をあけて，他のごみとは別にして出す,
容器包装プラスチック,トレイ（プラ製）,できるだけ店頭回収へ　水洗いする　汚れが簡単に取れない場合は燃えるごみ,
缶・びん・ペットボトル,ドレッシングのびん,中身を使い切って，水洗いする,
容器包装プラスチック,ドレッシングの容器（プラ製）,"中身を使い切って，汚れを取る
中身が簡単に取れない場合は燃えるごみ",
燃えないごみ,ナイフ,紙にくるんで、外からわかるように指定袋に「キケン」と貼る,
容器包装プラスチック,納豆の容器（プラ製）,"汚れを取る
汚れが簡単に取れない場合は燃えるごみ",
燃えないごみ,鍋,,
燃えるごみ,ぬいぐるみ,指定袋に入らないもの、または5kgを超えるものは大型ごみ,
燃えるごみ,ネクタイ,地域の資源（古紙など）集団回収で集めている場合はできるだけ資源集団回収へ,
燃えないごみ,ねじ,紙にくるんで、外からわかるように指定袋に「キケン」と貼る,
容器包装プラスチック,ネット（たまねぎ・みかんなどが入っていたもの）,,
燃えないごみ,粘土（土・石粉製）,,
燃えるごみ,粘土（紙製）,,
収集しない,農薬,製造元または販売店などに相談,
燃えるごみ,ノート,できるだけ地域の資源（古紙など）集団回収へ,
収集しない,ノート型パソコン,メーカー等に引渡し(PCリサイクル）,
燃えないごみ,のこぎり,刃は紙にくるんで外からわかるように指定袋に「キケン」と貼る,
燃えないごみ,ノミ,刃は紙にくるんで外からわかるように指定袋に「キケン」と貼る,
缶・びん・ペットボトル,のり（海苔）の缶,中身を使い切って、水洗いする,
缶・びん・ペットボトル,のりの佃煮のびん,中身を使い切って、水洗いする,
大型ごみ,バーベキューコンロ,指定袋に入るもの、または5ｋｇ以下のものは燃えないごみ,
収集しない,バイク,販売店または二輪車リサイクルコールセンター（03-3598-8075）に相談,
燃えないごみ,灰皿,,
大型ごみ,パイプハンガー,,
燃えないごみ,はかり（台所計り）,,
燃えるごみ,バケツ（プラ製）,,
燃えないごみ,バケツ（金属製）,,
燃えないごみ,はさみ,紙にくるんで、外からわかるように指定袋に「キケン」と貼る,
収集しない,パソコン,メーカー等に引渡し（PCリサイクル）,
燃えないごみ,パソコンプリンター,指定袋に入らないもの、または5kgを超えるものは大型ごみ,
収集しない,パソコン用ディスプレイ,メーカー等に引渡し（PCリサイクル）,
大型ごみ,パソコンラック,,
燃えないごみ,パソコンキーボード,パソコンと同時にメーカーに回収を申込むこともできます,
収集しない,バッテリー,販売店などに相談,
燃えないごみ,バット（金属製）,,
燃えるごみ,バット（金属製以外）,,
容器包装プラスチック,発泡スチロール（緩衝材など）,,
燃えるごみ,花火,水に浸し、発火しないようにする,
燃えるごみ,歯ブラシ,,
大型ごみ,パラソル（ビーチパラソル・レジャーパラソル）,指定袋に入り、5kg以下のものは燃えないごみ,
燃えないごみ,針（裁縫用など）,紙にくるんで、外からわかるように指定袋に「キケン」と貼る,
燃えないごみ,針金,,
燃えるごみ,ハンガー（プラ製・木製）,金属部分があるものは燃えないごみ　プラマークがあるものは容器包装プラスチック,
燃えないごみ,ハンガー（金属製）,,
燃えるごみ,パンフレット,できるだけ地域の資源（古紙など）集団回収へ,
収集しない,ピアノ,販売店などに相談,
燃えないごみ,ＰＨＳ,販売店へ（資源化ルートがあり）,
缶・びん・ペットボトル,ビールびん,"できるだけ販売店へ
中身を使い切って、水洗いする",
燃えないごみ,ビールびんのキャップ,,
燃えないごみ,ビデオカメラ,,
燃えるごみ,ビデオテープ(ケースを含む）,,
燃えないごみ,ビデオデッキ,指定袋に入らないもの、または5kgを超えるものは大型ごみ,
缶・びん・ペットボトル,びん（飲食用、調味料）,中身を使い切って、水洗いする,
燃えないごみ,びん（割れたびん、耐熱ガラス、ガラスコップ、化粧品のびん）,中身を使い切る　紙にくるんで、外からわかるように指定袋に「キケン」と貼る,
容器包装プラスチック,びんのキャップ（プラ製）,,
燃えないごみ,びんのキャップ（金属製）,,
燃えないごみ,ファクシミリ（電話機と一体になったものを含む）,指定袋に入らないもの、または5kgを超えるものは大型ごみ,
大型ごみ,ファンヒーター,電池は抜いて燃えないごみ　灯油は抜いて販売店などに相談,
燃えるごみ,フィルム,,
燃えるごみ,封筒,できるだけ地域の資源（古紙など）集団回収へ,
燃えるごみ,フォーク（プラ製・木製）,,
燃えないごみ,フォーク（金属製）,紙にくるんで、外からわかるように指定袋に「キケン」と貼る,
大型ごみ,ふとん,丸めてひもでしばる　指定袋に入り、5kg以下のものは燃えるごみ（ひもでしばらない）,
燃えないごみ,ふとん乾燥機,,
燃えないごみ,フライパン,,
大型ごみ,ブラインド,指定袋に入り、5kg以下のものは燃えないごみ,
大型ごみ,ぶら下がり健康器,,
燃えないごみ,ブラシ・櫛（金属製）,,
燃えるごみ,ブラシ・櫛（金属製以外）,,
燃えるごみ,プラモデル,,
大型ごみ,ブランコ（子供用遊具）,,
燃えるごみ,プランター,指定袋に入らないもの、または5kgを超えるものは大型ごみ,
燃えないごみ,プリンター,指定袋に入らないもの、または5kgを超えるものは大型ごみ,
容器包装プラスチック,プリンの容器(プラ製),汚れを取る,
燃えるごみ,古着・古布,地域の資源（古紙など）集団回収で集めている場合はできるだけ資源集団回収へ,
燃えないごみ,フロッピーディスク,,
燃えるごみ,フロッピーディスクのケース，ＭＯ,,
大型ごみ,風呂のふた,指定袋に入り、5kg以下のものは燃えるごみ,
収集しない,プロパンガスボンベ,兵庫県エルピーガス協会（361-8068）に相談,
燃えないごみ,文鎮,,
カセットボンベ・スプレー缶,ヘアースプレー(スプレー缶),使い切り、火の気のない風通しの良い所で穴をあけて、他のごみとは別にして出す,
容器包装プラスチック,ヘアースプレーのキャップ,,
燃えないごみ,ヘアピン,,
大型ごみ,ベッド,,
－,ペットの死体,各環境局事業所に連絡,
燃えるごみ,ペットのトイレ専用砂(紙製等),ペットのふんはトイレに流す,
収集しない,ペットのふん,砂などを除去してトイレに流す,
缶・びん・ペットボトル,ペットフードの缶,中身を使い切って、水洗いする,
缶・びん・ペットボトル,ペットボトル(飲み物、しょうゆ、調味料),中身を使い切って，中を軽くすすいでつぶして出す　キャップ・ラベルは外す,
容器包装プラスチック,ペットボトルのキャップ・ラベル,,
燃えないごみ,ヘッドホン,,
大型ごみ,ベッドマットレス,,
大型ごみ,ベビーカー,,
大型ごみ,ベビーベッド,,
燃えないごみ,ヘルスメーター,,
燃えるごみ,ベルト,,
燃えるごみ,ヘルメット,,
燃えないごみ,ペンキの缶,中身を使い切る,
カセットボンベ・スプレー缶,ペンキのスプレー缶,使いきり、火の気のない風通しの良い所で穴をあけて、他のごみとは別にして出す,
容器包装プラスチック,弁当の容器(使い捨てのもの・プラ製),"汚れを取る
汚れが簡単に取れない場合は燃えるごみ",
燃えるごみ,ほうき(金属製以外),,
燃えないごみ,ほうき(金属製),,
燃えるごみ,帽子,,
容器包装プラスチック,包装フィルム,,
燃えるごみ,防虫剤,,
容器包装プラスチック,防虫剤の容器（プラ製）,,
燃えないごみ,包丁,紙にくるんで、外からわかるように指定袋に「キケン」と貼る,
燃えるごみ,ボウル（プラ製）,,
燃えないごみ,ボウル（金属製・ガラス製）,,
燃えるごみ,ホース,,
大型ごみ,ホームベーカリー,指定袋に入り、5kg以下のものは燃えないごみ,
燃えるごみ,ボール,,
